# Định dạng: ID | Tâm (Center_X, Center_Y) | Khung (BBox [x, y, w, h])
# Tất cả giá trị đều là tỉ lệ (0.0 - 1.0) so với kích thước thật của ảnh.
ID: 94 | Center: 0.6884, 0.4529 | BBox: [0.6770, 0.4370, 0.0228, 0.0318]
ID: 95 | Center: 0.1314, 0.5498 | BBox: [0.1197, 0.5365, 0.0235, 0.0266]
ID: 96 | Center: 0.1560, 0.5495 | BBox: [0.1440, 0.5363, 0.0240, 0.0264]
ID: 97 | Center: 0.0547, 0.1109 | BBox: [0.0323, 0.0902, 0.0448, 0.0414]
ID: 98 | Center: 0.6883, 0.4834 | BBox: [0.6772, 0.4680, 0.0222, 0.0309]
ID: 99 | Center: 0.8962, 0.6296 | BBox: [0.8601, 0.6030, 0.0721, 0.0533]
ID: 100 | Center: 0.6527, 0.3959 | BBox: [0.5931, 0.3813, 0.1192, 0.0292]
ID: 101 | Center: 0.9009, 0.9738 | BBox: [0.8907, 0.9476, 0.0203, 0.0524]
ID: 102 | Center: 0.9766, 0.9734 | BBox: [0.9615, 0.9476, 0.0303, 0.0515]
ID: 103 | Center: 0.5581, 0.8586 | BBox: [0.5484, 0.8468, 0.0194, 0.0235]
ID: 104 | Center: 0.5575, 0.8181 | BBox: [0.5473, 0.8064, 0.0205, 0.0234]
ID: 105 | Center: 0.5798, 0.8587 | BBox: [0.5695, 0.8465, 0.0205, 0.0243]
ID: 106 | Center: 0.5576, 0.5754 | BBox: [0.5484, 0.5638, 0.0183, 0.0232]
ID: 107 | Center: 0.2983, 0.2670 | BBox: [0.2539, 0.2468, 0.0890, 0.0403]
ID: 108 | Center: 0.1648, 0.5766 | BBox: [0.1542, 0.5647, 0.0212, 0.0238]
ID: 109 | Center: 0.6032, 0.5315 | BBox: [0.5950, 0.5214, 0.0163, 0.0203]
ID: 110 | Center: 0.5802, 0.5738 | BBox: [0.5707, 0.5632, 0.0190, 0.0211]
ID: 111 | Center: 0.6610, 0.8807 | BBox: [0.5941, 0.8699, 0.1337, 0.0216]
ID: 112 | Center: 0.6227, 0.5314 | BBox: [0.6132, 0.5212, 0.0190, 0.0205]
ID: 113 | Center: 0.5799, 0.5978 | BBox: [0.5700, 0.5870, 0.0198, 0.0216]
ID: 114 | Center: 0.5803, 0.8186 | BBox: [0.5700, 0.8082, 0.0206, 0.0207]
ID: 115 | Center: 0.1356, 0.5767 | BBox: [0.1209, 0.5641, 0.0294, 0.0252]
ID: 116 | Center: 0.1212, 0.0422 | BBox: [0.1120, 0.0263, 0.0185, 0.0318]
